task_name,source,category,preferred_interfaces,required_information_type,likely_failure_under_fixed_action_space,notes
drop:iron_pickaxe,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:iron_shovel,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:iron_sword,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:item_frame,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:jungle_log,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:jungle_sapling,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:jungle_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:kelp,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:ladder,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lantern,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lapis_lazuli,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:large_fern,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lead,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:leather,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:leather_boots,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:leather_chestplate,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
drop:leather_helmet,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:leather_leggings,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lever,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
drop:light_blue_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:light_gray_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:light_gray_shulker_box,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lilac,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lily_of_the_valley,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:lily_pad,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:magma_block,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:map,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:melon_seeds,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:melon_slice,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:minecart,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:mossy_cobblestone,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:mossy_stone_brick_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:mossy_stone_bricks,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
drop:mushroom_stew,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:mutton,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:name_tag,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:nether_brick,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,"Smelting/cooking combines recipe, fuel, station use, and visible furnace/campfire interaction."
drop:nether_brick_fence,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:nether_wart_block,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:netherrack,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oak_button,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
drop:oak_door,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_fence,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_fence_gate,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_leaves,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oak_log,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oak_planks,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_sapling,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oak_sign,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oak_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_stairs,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:oak_trapdoor,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:orange_glazed_terracotta,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:orange_terracotta,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:orange_tulip,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:oxeye_daisy,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:paper,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:peony,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pink_dye,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pink_tulip,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pink_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:poisonous_potato,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:polished_granite,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:poppy,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:potato,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:powered_rail,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pufferfish,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pumpkin_pie,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:pumpkin_seeds,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:quartz,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:rabbit_foot,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:rabbit_hide,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:rail,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:red_carpet,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:red_sand,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:red_wool,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:redstone,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:redstone_torch,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:rose_bush,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:rotten_flesh,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:salmon,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:sand,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:sandstone,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:shears,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:shield,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:shroomlight,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:smoker,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:smooth_sandstone,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:smooth_stone,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:smooth_stone_slab,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:snowball,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:soul_sand,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:spectral_arrow,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:spider_eye,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,"Combat requires reactive control, target tracking, and switching between approach, attack, and retreat."
drop:spruce_boat,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
drop:spruce_button,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,inventory_or_tool_state;visual_target_localization,mid_level_skill_missing_parameter,Interaction tasks depend on selecting the correct object and passing the right action parameters.
drop:spruce_fence,CrossAgent/STRL/data_processor/task_suc_rate.json,building_or_shelter,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;inventory_or_tool_state;visual_target_localization;low_level_reactive_control,mid_level_skill_missing_parameter,"Building/shelter tasks require layout planning, material state, placement geometry, and local control."
drop:spruce_leaves,CrossAgent/STRL/data_processor/task_suc_rate.json,tool_use_or_interaction,memory_or_prerequisite_reasoning;mid_level_skill_action,inventory_or_tool_state;visual_target_localization,high_level_action_infeasible,Inventory/drop-style tasks mainly need inventory state and a valid mid-level command.
